date,year,exchange,holiday
2024-01-01,2024,NYSE,New Year’s Day
2024-01-15,2024,NYSE,"Martin Luther King, Jr. Day"
2024-02-19,2024,NYSE,Washington's Birthday
2024-03-29,2024,NYSE,Good Friday
2024-05-27,2024,NYSE,Memorial Day
2024-06-19,2024,NYSE,Juneteenth National Independence Day
2024-07-04,2024,NYSE,Independence Day
2024-09-02,2024,NYSE,Labor Day
2024-11-28,2024,NYSE,Thanksgiving Day
2024-12-25,2024,NYSE,Christmas Day
2025-01-01,2025,NYSE,New Year’s Day
2025-01-20,2025,NYSE,"Martin Luther King, Jr. Day"
2025-02-17,2025,NYSE,Washington's Birthday
2025-04-18,2025,NYSE,Good Friday
2025-05-26,2025,NYSE,Memorial Day
2025-06-19,2025,NYSE,Juneteenth National Independence Day
2025-07-04,2025,NYSE,Independence Day
2025-09-01,2025,NYSE,Labor Day
2025-11-27,2025,NYSE,Thanksgiving Day
2025-12-25,2025,NYSE,Christmas Day
